source,target,weight
'GB','US',80
'SU','IN',1
'LB','CA',2
'LB','FR',5
'CA','FR',7
'DZ','EG',1
'CA','LB',1
'FR','LB',5
'US','GB',49
'US','IT',4
'FR','EG',4
'CA','US',54
'US','FR',21
'JP','US',8
'US','CA',31
'DE','US',16
'PE','US',2
'PE','BR',1
'US','BR',3
'IT','US',4
'IT','FR',6
'IE','GB',4
'IE','DE',1
'IE','FR',1
'GB','DE',11
'GB','FR',10
'DE','FR',4
'HK','US',2
'DE','GH',1
'DE','GB',10
'DE','BF',1
'GH','GB',1
'GH','US',2
'GH','BF',1
'GB','BF',1
'US','BF',1
'ES','AR',4
'PS','US',3
'PS','FR',3
'PS','DE',2
'US','DE',13
'FR','DE',17
'FR','NO',1
'FR','BE',10
'NO','LB',1
'NO','BE',1
'LB','BE',1
'BE','FR',15
'BE','IT',3
'BE','LB',1
'FR','IT',4
'IT','LB',1
'IN','SU',1
'DE','BS',1
'DE','CZ',1
'GB','BS',1
'GB','CZ',2
'US','BS',1
'US','CZ',2
'BS','CZ',1
'MT','GB',1
'MT','US',1
'AU','DE',2
'AU','GB',5
'AU','US',10
'US','JP',8
'BE','US',2
'FR','GB',10
'US','ZA',3
'GB','ES',3
'GB','JP',2
'HK','CN',4
'GB','BG',2
'US','BG',5
'CA','IN',1
'US','IN',4
'JP','HK',1
'CA','GB',15
'FR','MX',2
'FR','ES',6
'MX','ES',3
'IN','US',5
'AR','ES',7
'FR','MA',2
'FR','PS',5
'MA','DE',1
'MA','PS',1
'DE','PS',4
'AR','DE',1
'AR','UY',2
'DE','UY',1
'DE','ES',3
'UY','ES',2
'CL','AR',2
'CZ','GB',2
'CZ','DK',1
'CZ','NL',1
'CZ','SE',1
'GB','DK',3
'GB','NL',2
'GB','SE',1
'DK','NL',3
'DK','SE',1
'NL','SE',1
'BE','ES',2
'BE','CH',1
'BE','PS',1
'FR','CH',2
'ES','CH',1
'ES','PS',1
'CH','PS',1
'NG','US',3
'CN','HK',6
'LB','GB',2
'FR','KW',1
'DE','KW',1
'KW','PS',1
'GB','AT',1
'GB','NG',1
'US','AT',1
'US','NG',3
'AT','FR',1
'AT','DE',3
'AT','NG',1
'FR','NG',1
'DE','NG',1
'AE','US',1
'DK','US',4
'FR','US',12
'HU','US',3
'HU','CA',2
'US','HU',1
'HU','IT',1
'ZA','DE',1
'IN','DE',1
'US','LB',2
'US','AE',3
'LB','AE',2
'PS','NL',1
'PS','AE',1
'NL','US',5
'NL','AE',1
'GB','ZA',2
'US','CL',2
'CA','CL',1
'US','CN',12
'GB','CN',3
'GB','CA',5
'CN','CA',4
'AU','CH',1
'CH','GB',1
'CD','GB',1
'CA','JP',3
'CA','KR',1
'US','EG',1
'EG','GB',1
'VE','AR',1
'IL','NO',1
'IL','ZA',1
'IL','AE',1
'IL','GB',2
'IL','IS',1
'IL','IE',1
'NO','ZA',1
'NO','AE',1
'NO','GB',1
'NO','IS',1
'NO','IE',1
'ZA','AE',1
'ZA','GB',3
'ZA','IS',1
'ZA','IE',1
'AE','GB',1
'AE','IS',1
'AE','IE',1
'GB','IS',1
'GB','IE',2
'IS','IE',1
'US','SG',1
'US','UA',1
'CN','DE',2
'CN','SG',2
'CN','UA',1
'DE','SG',1
'DE','UA',1
'SG','UA',1
'DE','IT',2
'IT','PS',1
'AE','LB',3
'US','ES',10
'US','LU',1
'FR','LU',3
'LU','GB',1
'IT','GB',1
'MX','ZA',1
'MX','US',12
'ZA','US',4
'BE','DK',1
'BE','DE',5
'BE','GB',4
'DK','DE',2
'DK','GB',4
'GB','IR',1
'GB','JO',1
'GB','QA',1
'IR','JO',1
'IR','QA',1
'JO','QA',2
'CH','US',1
'CA','DE',2
'CN','US',12
'UA','GB',2
'UA','US',2
'IE','ZA',1
'US','MT',1
'FR','MT',1
'AU','FR',1
'CN','FR',2
'FR','CA',3
'FR','QA',6
'RU','US',2
'RU','FR',1
'SY','GB',1
'AT','US',3
'FR','CL',1
'SE','NO',1
'GL','FR',1
'LB','DE',1
'PT','SE',1
'PT','DK',1
'PT','BR',1
'PT','FR',1
'SE','DK',3
'SE','BR',1
'SE','FR',1
'DK','BR',1
'DK','FR',2
'BR','FR',4
'QA','LB',1
'GB','AU',2
'ES','DK',1
'AE','FR',1
'AE','JO',1
'AE','QA',1
'AE','PS',1
'FR','JO',1
'JO','LB',1
'JO','PS',1
'LB','QA',2
'LB','PS',2
'QA','PS',2
'IN','GB',3
'CA','NG',1
'NL','GB',5
'CA','HU',2
'CA','MX',1
'CA','ES',2
'HU','MX',1
'HU','ES',1
'HU','GB',1
'MX','GB',1
'ES','GB',1
'ES','US',2
'FR','NL',2
'KR','US',2
'FR','RO',1
'RO','GB',1
'RO','BE',1
'RO','DE',1
'GB','BE',1
'US','MX',4
'HK','IS',1
'IS','US',1
'IN','CN',1
'CN','GB',4
'PR','US',1
'PR','GB',1
'PR','CN',1
'US','PR',1
'IT','CH',2
'CH','FR',2
'IT','ES',2
'ES','FR',7
'US','IS',1
'US','NO',1
'IS','NO',1
'IQ','GB',1
'US','AU',6
'CZ','US',2
'US','IE',2
'IE','CA',3
'IR','US',1
'IR','FR',1
'GB','ID',1
'GB','SG',1
'ID','CA',1
'ID','CN',1
'ID','SG',2
'ID','US',1
'CA','CN',5
'CA','SG',1
'SG','US',4
'SG','GB',1
'GE','DE',1
'GE','FR',1
'CA','IE',1
'NL','BE',2
'US','KH',1
'FR','JP',4
'CN','ES',1
'CU','US',1
'BG','US',3
'US','DK',3
'ES','IT',1
'TR','US',1
'PE','DE',1
'PE','NO',1
'DE','NO',1
'LU','US',1
'LU','FR',2
'IL','MA',1
'IL','US',3
'IL','BG',1
'MA','US',1
'MA','BG',1
'MA','GB',1
'BG','GB',1
'AR','CL',1
'ES','UY',1
'JP','CN',1
'QA','TN',2
'QA','FR',2
'TN','FR',1
'ES','MX',3
'PH','SG',1
'DE','DK',3
'DE','NL',1
'NL','MX',1
'NO','SE',1
'NO','DK',1
'NO','NL',1
'SE','NL',1
'DE','ZA',1
'IS','SE',1
'IS','BE',1
'SE','BE',1
'CN','TW',1
'FR','TW',1
'TW','US',2
'DE','CH',2
'JP','KR',1
'JP','FR',1
'KR','FR',1
'DE','NZ',1
'NZ','GB',1
'PL','US',2
'IT','VA',1
'IT','DE',1
'CH','VA',1
